n,alpha,d,theta_star,power
1000,0.1,1,0.268,0.9918
1000,0.1,2,0.268,0.9994
1000,0.1,10,0.268,1
1000,0.1,1,0.269,0.9882
1000,0.1,2,0.269,0.9998
1000,0.1,10,0.269,1
1000,0.1,1,0.27,0.9928
1000,0.1,2,0.27,0.9996
1000,0.1,10,0.27,1
1000,0.1,1,0.271,0.9936
1000,0.1,2,0.271,1
1000,0.1,10,0.271,1
1000,0.1,1,0.272,0.9934
1000,0.1,2,0.272,0.9998
1000,0.1,10,0.272,1
1000,0.1,1,0.273,0.9934
1000,0.1,2,0.273,1
1000,0.1,10,0.273,1
1000,0.1,1,0.274,0.9942
1000,0.1,2,0.274,0.9998
1000,0.1,10,0.274,1
1000,0.1,1,0.275,0.992
1000,0.1,2,0.275,1
1000,0.1,10,0.275,1
1000,0.1,1,0.276,0.9946
1000,0.1,2,0.276,1
1000,0.1,10,0.276,1
1000,0.1,1,0.277,0.9934
1000,0.1,2,0.277,1
1000,0.1,10,0.277,1
1000,0.1,1,0.278,0.9958
1000,0.1,2,0.278,1
1000,0.1,10,0.278,1
1000,0.1,1,0.279,0.9944
1000,0.1,2,0.279,1
1000,0.1,10,0.279,1
1000,0.1,1,0.28,0.9936
1000,0.1,2,0.28,1
1000,0.1,10,0.28,1
1000,0.1,1,0.281,0.9916
1000,0.1,2,0.281,1
1000,0.1,10,0.281,1
1000,0.1,1,0.282,0.9942
1000,0.1,2,0.282,0.9998
1000,0.1,10,0.282,1
1000,0.1,1,0.283,0.9946
1000,0.1,2,0.283,1
1000,0.1,10,0.283,1
1000,0.1,1,0.284,0.9952
1000,0.1,2,0.284,0.9998
1000,0.1,10,0.284,1
1000,0.1,1,0.285,0.9944
1000,0.1,2,0.285,0.9996
1000,0.1,10,0.285,1
1000,0.1,1,0.286,0.995
1000,0.1,2,0.286,0.9998
1000,0.1,10,0.286,1
1000,0.1,1,0.287,0.9966
1000,0.1,2,0.287,1
1000,0.1,10,0.287,1
1000,0.1,1,0.288,0.9962
1000,0.1,2,0.288,0.9998
1000,0.1,10,0.288,1
1000,0.1,1,0.289,0.9948
1000,0.1,2,0.289,1
1000,0.1,10,0.289,1
1000,0.1,1,0.29,0.9958
1000,0.1,2,0.29,1
1000,0.1,10,0.29,1
1000,0.1,1,0.291,0.9954
1000,0.1,2,0.291,1
1000,0.1,10,0.291,1
1000,0.1,1,0.292,0.997
1000,0.1,2,0.292,1
1000,0.1,10,0.292,1
1000,0.1,1,0.293,0.9964
1000,0.1,2,0.293,1
1000,0.1,10,0.293,1
1000,0.1,1,0.294,0.9968
1000,0.1,2,0.294,1
1000,0.1,10,0.294,1
1000,0.1,1,0.295,0.9956
1000,0.1,2,0.295,1
1000,0.1,10,0.295,1
1000,0.1,1,0.296,0.998
1000,0.1,2,0.296,1
1000,0.1,10,0.296,1
1000,0.1,1,0.297,0.997
1000,0.1,2,0.297,1
1000,0.1,10,0.297,1
1000,0.1,1,0.298,0.9968
1000,0.1,2,0.298,0.9998
1000,0.1,10,0.298,1
1000,0.1,1,0.299,0.9968
1000,0.1,2,0.299,1
1000,0.1,10,0.299,1
1000,0.1,1,0.3,0.997
1000,0.1,2,0.3,1
1000,0.1,10,0.3,1
1000,0.1,1,0.301,0.9974
1000,0.1,2,0.301,1
1000,0.1,10,0.301,1
1000,0.1,1,0.302,0.9964
1000,0.1,2,0.302,0.9998
1000,0.1,10,0.302,1
1000,0.1,1,0.303,0.9968
1000,0.1,2,0.303,1
1000,0.1,10,0.303,1
1000,0.1,1,0.304,0.9972
1000,0.1,2,0.304,1
1000,0.1,10,0.304,1
1000,0.1,1,0.305,0.998
1000,0.1,2,0.305,1
1000,0.1,10,0.305,1
1000,0.1,1,0.306,0.997
1000,0.1,2,0.306,1
1000,0.1,10,0.306,1
1000,0.1,1,0.307,0.9988
1000,0.1,2,0.307,1
1000,0.1,10,0.307,1
1000,0.1,1,0.308,0.9974
1000,0.1,2,0.308,1
1000,0.1,10,0.308,1
1000,0.1,1,0.309,0.9982
1000,0.1,2,0.309,1
1000,0.1,10,0.309,1
1000,0.1,1,0.31,0.9992
1000,0.1,2,0.31,1
1000,0.1,10,0.31,1
1000,0.1,1,0.311,0.9976
1000,0.1,2,0.311,1
1000,0.1,10,0.311,1
1000,0.1,1,0.312,0.9976
1000,0.1,2,0.312,1
1000,0.1,10,0.312,1
1000,0.1,1,0.313,0.9986
1000,0.1,2,0.313,1
1000,0.1,10,0.313,1
1000,0.1,1,0.314,0.997
1000,0.1,2,0.314,1
1000,0.1,10,0.314,1
1000,0.1,1,0.315,0.998
1000,0.1,2,0.315,0.9998
1000,0.1,10,0.315,1
1000,0.1,1,0.316,0.9984
1000,0.1,2,0.316,1
1000,0.1,10,0.316,1
1000,0.1,1,0.317,0.9978
1000,0.1,2,0.317,1
1000,0.1,10,0.317,1
