alpha,n,d,theta_star,power,power_approx_2
0.1,1000,1,0.067,0.180141753057506,0.202912204771557
0.1,1000,2,0.067,0.453475160967447,0.51568275441687
0.1,1000,10,0.067,0.996588750805373,0.988127005999623
0.1,1000,1,0.068,0.188563485464988,0.214640923201037
0.1,1000,2,0.068,0.470749672320445,0.532267313998484
0.1,1000,10,0.068,0.997438386047783,0.989978051229011
0.1,1000,1,0.069,0.1972237300578,0.226567988836116
0.1,1000,2,0.069,0.488089152993503,0.548607602515746
0.1,1000,10,0.069,0.998092700015675,0.991564025170415
0.1,1000,1,0.07,0.206120340784405,0.238675107311601
0.1,1000,2,0.07,0.505460601755219,0.56468499443729
0.1,1000,10,0.07,0.99859198031388,0.992918645493803
0.1,1000,1,0.071,0.215250634197303,0.250944062953772
0.1,1000,2,0.071,0.522830796220353,0.580482647241445
0.1,1000,10,0.071,0.99896946421977,0.994072087223267
0.1,1000,1,0.072,0.224611383206392,0.263356794945383
0.1,1000,2,0.072,0.540166484553691,0.595985452864187
0.1,1000,10,0.072,0.999252238406531,0.995051224131025
0.1,1000,1,0.073,0.234198812871022,0.275895465931043
0.1,1000,2,0.073,0.55743457774646,0.61117998309893
0.1,1000,10,0.073,0.999462113181777,0.995879878139795
0.1,1000,1,0.074,0.244008598304293,0.288542523337703
0.1,1000,2,0.074,0.574602340603699,0.626054430057823
0.1,1000,10,0.074,0.999616443777514,0.996579070582665
0.1,1000,1,0.075,0.254035864752243,0.301280753729564
0.1,1000,2,0.075,0.591637579595348,0.640598542696322
0.1,1000,10,0.075,0.99972888033946,0.997167270317216
0.1,1000,1,0.076,0.264275189898889,0.314093330548955
0.1,1000,2,0.076,0.608508825763227,0.654803560300676
0.1,1000,10,0.076,0.999810036131003,0.997660634731073
0.1,1000,1,0.077,0.274720608435816,0.326963855616612
0.1,1000,2,0.077,0.625185510939989,0.66866214374225
0.1,1000,10,0.077,0.999868069912633,0.998073240603255
0.1,1000,1,0.078,0.285365618922157,0.339876394777698
0.1,1000,2,0.078,0.641638135623394,0.682168305213293
0.1,1000,10,0.078,0.999909183447649,0.998417302598505
0.1,1000,1,0.079,0.296203192947471,0.352815508085558
0.1,1000,2,0.079,0.65783842695844,0.695317337076165
0.1,1000,10,0.079,0.999938038694952,0.998703377872284
0.1,1000,1,0.08,0.3072257865964,0.365766274914662
0.1,1000,2,0.08,0.673759485409144,0.708105740381819
0.1,1000,10,0.08,0.999958101630364,0.998940555857549
0.1,1000,1,0.081,0.318425354199995,0.378714314388795
0.1,1000,2,0.081,0.689375918848877,0.720531153543534
0.1,1000,10,0.081,0.999971920983591,0.999136632797582
0.1,1000,1,0.082,0.32979336434457,0.391645801501197
0.1,1000,2,0.082,0.704663962960733,0.732592281588129
0.1,1000,10,0.082,0.999981350699485,0.999298270990559
0.1,1000,1,0.083,0.341320818094746,0.404547479291005
0.1,1000,2,0.083,0.71960158701459,0.744288826348868
0.1,1000,10,0.083,0.999987724836899,0.99943114303015
0.1,1000,1,0.084,0.352998269373333,0.41740666742565
0.1,1000,2,0.084,0.734168584272593,0.755621417911763
0.1,1000,10,0.084,0.999991993094487,0.999540061571892
0.1,1000,1,0.085,0.364815847426807,0.430211267522556
0.1,1000,2,0.085,0.748346646466568,0.766591547579458
0.1,1000,10,0.085,0.999994824361621,0.999629095336664
0.1,1000,1,0.086,0.376763281291539,0.44294976552606
0.1,1000,2,0.086,0.762119421986346,0.777201502574209
0.1,1000,10,0.086,0.999996684764123,0.99970167218953
0.1,1000,1,0.087,0.388829926162798,0.455611231437344
0.1,1000,2,0.087,0.775472557614109,0.787454302663067
0.1,1000,10,0.087,0.9999978957074,0.999760670213141
0.1,1000,1,0.088,0.401004791555882,0.468185316676791
0.1,1000,2,0.088,0.788393723833464,0.797353638854087
0.1,1000,10,0.088,0.999998676483733,0.999808497737774
0.1,1000,1,0.089,0.413276571136739,0.480662249339763
0.1,1000,2,0.089,0.800872623930256,0.806903814281759
0.1,1000,10,0.089,0.99999917515084,0.999847163302203
0.1,1000,1,0.09,0.425633674088154,0.493032827588642
0.1,1000,2,0.09,0.812900987282342,0.816109687372589
0.1,1000,10,0.09,0.99999949063058,0.999878336507398
0.1,1000,1,0.091,0.438064257867135,0.505288411406225
0.1,1000,2,0.091,0.824472547405017,0.824976617357653
0.1,1000,10,0.091,0.99999968832958,0.99990340069428
0.1,1000,1,0.092,0.450556262199626,0.517420912918428
0.1,1000,2,0.092,0.835583005475424,0.833510412177526
0.1,1000,10,0.092,0.999999811046774,0.999923498332195
0.1,1000,1,0.093,0.463097444150164,0.529422785477755
0.1,1000,2,0.093,0.846229980200939,0.841717278806234
0.1,1000,10,0.093,0.999999886498668,0.999939569950752
0.1,1000,1,0.094,0.475675414096651,0.541287011683255
0.1,1000,2,0.094,0.856412945021628,0.849603776004291
0.1,1000,10,0.094,0.99999993244963,0.999952387387466
0.1,1000,1,0.095,0.488277672434178,0.553007090497806
0.1,1000,2,0.095,0.866133153744096,0.857176769496508
0.1,1000,10,0.095,0.999999960168459,0.999962582060252
0.1,1000,1,0.096,0.500891646826727,0.564577023609433
0.1,1000,2,0.096,0.875393555792346,0.864443389557627
0.1,1000,10,0.096,0.999999976730245,0.999970668909434
0.1,1000,1,0.097,0.513504729821786,0.575991301170188
0.1,1000,2,0.097,0.884198702330216,0.871410990977973
0.1,1000,10,0.097,0.999999986531637,0.9999770665903
0.1,1000,1,0.098,0.52610431664037,0.587244887033705
0.1,1000,2,0.098,0.892554644559116,0.878087115371949
0.1,1000,10,0.098,0.999999992276941,0.999982114435779
0.1,1000,1,0.099,0.538677842953715,0.598333203600986
0.1,1000,2,0.099,0.900468825524378,0.884479455784153
0.1,1000,10,0.099,0.999999995612583,0.999986086650431
0.1,1000,1,0.1,0.551212822458006,0.609252116373278
0.1,1000,2,0.1,0.907949966774033,0.890595823541127
0.1,1000,10,0.1,0.999999997530739,0.999989204142296
0.1,1000,1,0.101,0.563696884059917,0.619997918300914
0.1,1000,2,0.101,0.915007951205815,0.896444117291029
0.1,1000,10,0.101,0.999999998623242,0.999991644348716
0.1,1000,1,0.102,0.576117808488454,0.630567314007808
0.1,1000,2,0.102,0.921653703412931,0.902032294168778
0.1,1000,10,0.102,0.999999999239543,0.999993549366115
0.1,1000,1,0.103,0.588463564152586,0.640957403962839
0.1,1000,2,0.103,0.927899068797671,0.9073683430204
0.1,1000,10,0.103,0.999999999583886,0.999995032652063
0.1,1000,1,0.104,0.600722342069411,0.651165668661539
0.1,1000,2,0.104,0.933756692665925,0.912460259617169
0.1,1000,10,0.104,0.999999999774438,0.99999618453056
0.1,1000,1,0.105,0.612882589694019,0.661189952874358
0.1,1000,2,0.105,0.93923990044666,0.917316023787815
0.1,1000,10,0.105,0.999999999878876,0.999997076698279
0.1,1000,1,0.106,0.62493304348983,0.671028450011246
0.1,1000,2,0.106,0.944362580100242,0.921943578395252
0.1,1000,10,0.106,0.999999999935569,0.999997765900197
0.1,1000,1,0.107,0.636862760086813,0.680679686646291
0.1,1000,2,0.107,0.949139067689989,0.926350810083097
0.1,1000,10,0.107,0.999999999966048,0.999998296917392
0.1,1000,1,0.108,0.64866114588466,0.690142507240701
0.1,1000,2,0.108,0.953584036994502,0.930545531716496
0.1,1000,10,0.108,0.999999999982277,0.999998704987456
0.1,1000,1,0.109,0.66031798496856,0.699416059097463
0.1,1000,2,0.109,0.957712393935926,0.934535466441504
0.1,1000,10,0.109,0.999999999990836,0.999999017758652
0.1,1000,1,0.11,0.671823465216608,0.70849977757649
0.1,1000,2,0.11,0.961539176493458,0.938328233287326
0.1,1000,10,0.11,0.999999999995306,0.999999256862397
0.1,1000,1,0.111,0.683168202489963,0.71739337159496
0.1,1000,2,0.111,0.965079460663725,0.941931334236151
0.1,1000,10,0.111,0.999999999997619,0.999999439174406
0.1,1000,1,0.112,0.694343262809645,0.726096809433891
0.1,1000,2,0.112,0.968348272922088,0.945352142686055
0.1,1000,10,0.112,0.999999999998803,0.999999577822865
0.1,1000,1,0.113,0.705340182437054,0.734610304868581
0.1,1000,2,0.113,0.97136050953291,0.948597893233379
0.1,1000,10,0.113,0.999999999999404,0.999999682991735
0.1,1000,1,0.114,0.716150985788948,0.742934303637574
0.1,1000,2,0.114,0.974130862953982,0.951675672702243
0.1,1000,10,0.114,0.999999999999706,0.999999762558778
0.1,1000,1,0.115,0.726768201131524,0.751069470262075
0.1,1000,2,0.115,0.976673755481838,0.954592412350198
0.1,1000,10,0.115,0.999999999999856,0.999999822600686
0.1,1000,1,0.116,0.737184874012344,0.759016675225261
0.1,1000,2,0.116,0.979003280191873,0.957354881180658
0.1,1000,10,0.116,0.999999999999931,0.999999867791725
0.1,1000,1,0.117,0.747394578402973,0.766776982518784
0.1,1000,2,0.117,0.981133149140845,0.959969680294373
0.1,1000,10,0.117,0.999999999999967,0.999999901717366
0.1,1000,1,0.118,0.757391425539288,0.774351637561768
0.1,1000,2,0.118,0.983076648720376,0.96244323821414
0.1,1000,10,0.118,0.999999999999984,0.999999927120241
0.1,1000,1,0.119,0.767170070460322,0.78174205549583
0.1,1000,2,0.119,0.984846601978989,0.964781807118798
0.1,1000,10,0.119,0.999999999999993,0.999999946092453
0.1,1000,1,0.12,0.776725716260163,0.788949809858131
0.1,1000,2,0.12,0.986455337667526,0.966991459924616
0.1,1000,10,0.12,0.999999999999997,0.999999960225457
0.1,1000,1,0.121,0.786054116080661,0.795976621633017
0.1,1000,2,0.121,0.987914665708574,0.969078088154276
0.1,1000,10,0.121,0.999999999999998,0.999999970726526
0.1,1000,1,0.122,0.795151572885507,0.802824348681605
0.1,1000,2,0.122,0.989235858745054,0.971047400535761
0.1,1000,10,0.122,1,0.99999997850897
0.1,1000,1,0.123,0.804014937068452,0.809494975547554
0.1,1000,2,0.123,0.990429639386125,0.972904922275654
0.1,1000,10,0.123,1,0.999999984261821
0.1,1000,1,0.124,0.81264160196001,0.815990603636309
0.1,1000,2,0.124,0.991506172739958,0.974655994953564
0.1,1000,10,0.124,1,0.999999988503479
0.1,1000,1,0.125,0.821029497307834,0.822313441764234
0.1,1000,2,0.125,0.992475063802305,0.976305776986598
0.1,1000,10,0.125,1,0.999999991622904
0.1,1000,1,0.126,0.829177080816008,0.828465797073325
0.1,1000,2,0.126,0.993345359256736,0.977859244615026
0.1,1000,10,0.126,1,0.999999993911141
0.1,1000,1,0.127,0.837083327837705,0.83445006630653
0.1,1000,2,0.127,0.99412555323642,0.979321193362522
0.1,1000,10,0.127,1,0.999999995585371
0.1,1000,1,0.128,0.844747719323941,0.840268727438137
0.1,1000,2,0.128,0.994823596597734,0.98069623992653
0.1,1000,10,0.128,1,0.999999996807224
0.1,1000,1,0.129,0.852170228138546,0.845924331653223
0.1,1000,2,0.129,0.995446909262253,0.981988824456552
0.1,1000,10,0.129,1,0.999999997696654
0.1,1000,1,0.13,0.859351303855825,0.851419495669713
0.1,1000,2,0.13,0.996002395195009,0.983203213180253
0.1,1000,10,0.13,1,0.99999999834245
0.1,1000,1,0.131,0.866291856162805,0.856756894396259
0.1,1000,2,0.131,0.996496459602715,0.984343501339444
0.1,1000,10,0.131,1,0.999999998810154
0.1,1000,1,0.132,0.872993236992319,0.861939253918851
0.1,1000,2,0.132,0.996935027955188,0.985413616400092
0.1,1000,10,0.132,1,0.999999999148014
0.1,1000,1,0.133,0.879457221516586,0.866969344808823
0.1,1000,2,0.133,0.997323566455792,0.98641732150253
0.1,1000,10,0.133,1,0.999999999391457
0.1,1000,1,0.134,0.885685988133291,0.87184997574471
0.1,1000,2,0.134,0.997667103611665,0.987358219120072
0.1,1000,10,0.134,1,0.999999999566421
0.1,1000,1,0.135,0.891682097577575,0.876583987440255
0.1,1000,2,0.135,0.997970252581291,0.988239754896156
0.1,1000,10,0.135,1,0.99999999969185
0.1,1000,1,0.136,0.89744847129376,0.881174246870748
0.1,1000,2,0.136,0.998237234004793,0.98906522163207
0.1,1000,10,0.136,1,0.999999999781538
0.1,1000,1,0.137,0.902988369200123,0.88562364178977
0.1,1000,2,0.137,0.998471899050933,0.989837763399117
0.1,1000,10,0.137,1,0.999999999845508
0.1,1000,1,0.138,0.908305366978615,0.889935075528372
0.1,1000,2,0.138,0.998677752443385,0.990560379750896
0.1,1000,10,0.138,1,0.999999999891018
0.1,1000,1,0.139,0.913403333019185,0.894111462068674
0.1,1000,2,0.139,0.998857975257249,0.991235930013076
0.1,1000,10,0.139,1,0.999999999923313
0.1,1000,1,0.14,0.918286405145287,0.898155721383852
0.1,1000,2,0.14,0.999015447304391,0.991867137629688
0.1,1000,10,0.14,1,0.999999999946172
0.1,1000,1,0.141,0.92295896724334,0.902070775036494
0.1,1000,2,0.141,0.999152768952889,0.992456594546601
0.1,1000,10,0.141,1,0.999999999962311
0.1,1000,1,0.142,0.927425625914454,0.905859542027345
0.1,1000,2,0.142,0.999272282251175,0.993006765614327
0.1,1000,10,0.142,1,0.999999999973677
0.1,1000,1,0.143,0.931691187261567,0.909524934886476
0.1,1000,2,0.143,0.999376091251391,0.993519992993823
0.1,1000,10,0.143,1,0.999999999981661
0.1,1000,1,0.144,0.93576063391952,0.913069855999001
0.1,1000,2,0.144,0.999466081448644,0.993998500550308
0.1,1000,10,0.144,1,0.999999999987255
0.1,1000,1,0.145,0.939639102429392,0.916497194157512
0.1,1000,2,0.145,0.999543938273316,0.994444398221506
0.1,1000,10,0.145,1,0.999999999991164
0.1,1000,1,0.146,0.943331861051888,0.919809821333511
0.1,1000,2,0.146,0.999611164592167,0.994859686347965
0.1,1000,10,0.146,1,0.99999999999389
0.1,1000,1,0.147,0.946844288107597,0.923010589660169
0.1,1000,2,0.147,0.99966909719068,0.995246259954338
0.1,1000,10,0.147,1,0.999999999995785
0.1,1000,1,0.148,0.950181850924782,0.926102328618906
0.1,1000,2,0.148,0.999718922223969,0.995605912971644
0.1,1000,10,0.148,1,0.9999999999971
0.1,1000,1,0.149,0.953350085467903,0.929087842422326
0.1,1000,2,0.149,0.999761689636537,0.995940342391627
0.1,1000,10,0.149,1,0.999999999998009
0.1,1000,1,0.15,0.956354576712579,0.931969907586216
0.1,1000,2,0.15,0.999798326562445,0.996251152345362
0.1,1000,10,0.15,1,0.999999999998637
0.1,1000,1,0.151,0.959200939825,0.934751270683402
0.1,1000,2,0.151,0.99982964972694,0.99653985809921
0.1,1000,10,0.151,1,0.999999999999069
0.1,1000,1,0.152,0.961894802196214,0.937434646272404
0.1,1000,2,0.152,0.999856376878538,0.996807889962136
0.1,1000,10,0.152,1,0.999999999999366
0.1,1000,1,0.153,0.96444178637409,0.940022714993951
0.1,1000,2,0.153,0.999879137286997,0.997056597099271
0.1,1000,10,0.153,1,0.999999999999569
0.1,1000,1,0.154,0.966847493928283,0.94251812182857
0.1,1000,2,0.154,0.999898481347648,0.997287251247387
0.1,1000,10,0.154,1,0.999999999999708
0.1,1000,1,0.155,0.969117490276176,0.944923474508575
0.1,1000,2,0.155,0.999914889336405,0.997501050328673
0.1,1000,10,0.155,1,0.999999999999802
0.1,1000,1,0.156,0.971257290490682,0.947241342077954
0.1,1000,2,0.156,0.999928779362433,0.99769912195994
0.1,1000,10,0.156,1,0.999999999999867
0.1,1000,1,0.157,0.973272346103878,0.949474253593781
0.1,1000,2,0.157,0.999940514567162,0.997882526854972
0.1,1000,10,0.157,1,0.99999999999991
0.1,1000,1,0.158,0.975168032913867,0.951624696962919
0.1,1000,2,0.158,0.999950409619161,0.998052262118376
0.1,1000,10,0.158,1,0.99999999999994
0.1,1000,1,0.159,0.976949639796026,0.953695117907942
0.1,1000,2,0.159,0.999958736554459,0.998209264429791
0.1,1000,10,0.159,1,0.99999999999996
