n,alpha,d,theta_star,power
1000,0.1,1,0.053,0.0828
1000,0.1,2,0.053,0.2194
1000,0.1,10,0.053,0.6438
1000,0.1,1,0.054,0.0924
1000,0.1,2,0.054,0.2402
1000,0.1,10,0.054,0.6706
1000,0.1,1,0.055,0.1042
1000,0.1,2,0.055,0.2448
1000,0.1,10,0.055,0.6882
1000,0.1,1,0.056,0.1016
1000,0.1,2,0.056,0.2694
1000,0.1,10,0.056,0.7046
1000,0.1,1,0.057,0.1066
1000,0.1,2,0.057,0.2688
1000,0.1,10,0.057,0.739
1000,0.1,1,0.058,0.114
1000,0.1,2,0.058,0.2958
1000,0.1,10,0.058,0.7548
1000,0.1,1,0.059,0.126
1000,0.1,2,0.059,0.3
1000,0.1,10,0.059,0.7728
1000,0.1,1,0.06,0.129
1000,0.1,2,0.06,0.3242
1000,0.1,10,0.06,0.798
1000,0.1,1,0.061,0.1508
1000,0.1,2,0.061,0.3484
1000,0.1,10,0.061,0.8066
1000,0.1,1,0.062,0.1428
1000,0.1,2,0.062,0.3484
1000,0.1,10,0.062,0.8222
1000,0.1,1,0.063,0.1584
1000,0.1,2,0.063,0.3572
1000,0.1,10,0.063,0.8354
1000,0.1,1,0.064,0.1656
1000,0.1,2,0.064,0.3656
1000,0.1,10,0.064,0.8516
1000,0.1,1,0.065,0.1598
1000,0.1,2,0.065,0.39
1000,0.1,10,0.065,0.8534
1000,0.1,1,0.066,0.1756
1000,0.1,2,0.066,0.4134
1000,0.1,10,0.066,0.8812
1000,0.1,1,0.067,0.1894
1000,0.1,2,0.067,0.4122
1000,0.1,10,0.067,0.8878
1000,0.1,1,0.068,0.1932
1000,0.1,2,0.068,0.4266
1000,0.1,10,0.068,0.9006
1000,0.1,1,0.069,0.193
1000,0.1,2,0.069,0.4508
1000,0.1,10,0.069,0.9202
1000,0.1,1,0.07,0.2046
1000,0.1,2,0.07,0.4772
1000,0.1,10,0.07,0.9214
1000,0.1,1,0.071,0.2128
1000,0.1,2,0.071,0.4822
1000,0.1,10,0.071,0.9248
1000,0.1,1,0.072,0.2186
1000,0.1,2,0.072,0.496
1000,0.1,10,0.072,0.9392
1000,0.1,1,0.073,0.242
1000,0.1,2,0.073,0.5118
1000,0.1,10,0.073,0.9432
1000,0.1,1,0.074,0.2414
1000,0.1,2,0.074,0.5318
1000,0.1,10,0.074,0.9526
1000,0.1,1,0.075,0.2578
1000,0.1,2,0.075,0.55
1000,0.1,10,0.075,0.955
1000,0.1,1,0.076,0.2656
1000,0.1,2,0.076,0.5568
1000,0.1,10,0.076,0.9626
1000,0.1,1,0.077,0.2858
1000,0.1,2,0.077,0.5748
1000,0.1,10,0.077,0.9674
1000,0.1,1,0.078,0.2836
1000,0.1,2,0.078,0.5932
1000,0.1,10,0.078,0.9632
1000,0.1,1,0.079,0.2908
1000,0.1,2,0.079,0.6192
1000,0.1,10,0.079,0.9742
1000,0.1,1,0.08,0.313
1000,0.1,2,0.08,0.6216
1000,0.1,10,0.08,0.978
1000,0.1,1,0.081,0.314
1000,0.1,2,0.081,0.6458
1000,0.1,10,0.081,0.9818
1000,0.1,1,0.082,0.3306
1000,0.1,2,0.082,0.6452
1000,0.1,10,0.082,0.9836
1000,0.1,1,0.083,0.3322
1000,0.1,2,0.083,0.6726
1000,0.1,10,0.083,0.9844
1000,0.1,1,0.084,0.3542
1000,0.1,2,0.084,0.682
1000,0.1,10,0.084,0.991
1000,0.1,1,0.085,0.3578
1000,0.1,2,0.085,0.6888
1000,0.1,10,0.085,0.991
1000,0.1,1,0.086,0.3902
1000,0.1,2,0.086,0.7064
1000,0.1,10,0.086,0.9906
1000,0.1,1,0.087,0.3912
1000,0.1,2,0.087,0.7228
1000,0.1,10,0.087,0.9916
1000,0.1,1,0.088,0.3906
1000,0.1,2,0.088,0.735
1000,0.1,10,0.088,0.9942
1000,0.1,1,0.089,0.4066
1000,0.1,2,0.089,0.7444
1000,0.1,10,0.089,0.9938
1000,0.1,1,0.09,0.432
1000,0.1,2,0.09,0.759
1000,0.1,10,0.09,0.9966
1000,0.1,1,0.091,0.4374
1000,0.1,2,0.091,0.7714
1000,0.1,10,0.091,0.9952
1000,0.1,1,0.092,0.4494
1000,0.1,2,0.092,0.7864
1000,0.1,10,0.092,0.997
1000,0.1,1,0.093,0.4582
1000,0.1,2,0.093,0.7918
1000,0.1,10,0.093,0.996
1000,0.1,1,0.094,0.4838
1000,0.1,2,0.094,0.813
1000,0.1,10,0.094,0.997
1000,0.1,1,0.095,0.4926
1000,0.1,2,0.095,0.8162
1000,0.1,10,0.095,0.9986
1000,0.1,1,0.096,0.5022
1000,0.1,2,0.096,0.8258
1000,0.1,10,0.096,0.9986
1000,0.1,1,0.097,0.5228
1000,0.1,2,0.097,0.84
1000,0.1,10,0.097,0.9982
1000,0.1,1,0.098,0.5392
1000,0.1,2,0.098,0.8328
1000,0.1,10,0.098,0.9988
1000,0.1,1,0.099,0.5366
1000,0.1,2,0.099,0.8514
1000,0.1,10,0.099,0.9984
1000,0.1,1,0.1,0.5566
1000,0.1,2,0.1,0.8566
1000,0.1,10,0.1,0.9994
1000,0.1,1,0.101,0.5576
1000,0.1,2,0.101,0.8718
1000,0.1,10,0.101,0.9998
1000,0.1,1,0.102,0.5802
1000,0.1,2,0.102,0.8864
1000,0.1,10,0.102,0.9998
1000,0.1,1,0.103,0.584
1000,0.1,2,0.103,0.8848
1000,0.1,10,0.103,0.9998
1000,0.1,1,0.104,0.6068
1000,0.1,2,0.104,0.8872
1000,0.1,10,0.104,0.9992
1000,0.1,1,0.105,0.6218
1000,0.1,2,0.105,0.8954
1000,0.1,10,0.105,0.9996
1000,0.1,1,0.106,0.628
1000,0.1,2,0.106,0.9024
1000,0.1,10,0.106,0.9998
1000,0.1,1,0.107,0.6476
1000,0.1,2,0.107,0.9126
1000,0.1,10,0.107,0.9996
1000,0.1,1,0.108,0.6374
1000,0.1,2,0.108,0.9184
1000,0.1,10,0.108,1
1000,0.1,1,0.109,0.6622
1000,0.1,2,0.109,0.9238
1000,0.1,10,0.109,0.9998
1000,0.1,1,0.11,0.6716
1000,0.1,2,0.11,0.933
1000,0.1,10,0.11,0.9998
1000,0.1,1,0.111,0.6792
1000,0.1,2,0.111,0.9372
1000,0.1,10,0.111,1
1000,0.1,1,0.112,0.6992
1000,0.1,2,0.112,0.9384
1000,0.1,10,0.112,0.9998
1000,0.1,1,0.113,0.6948
1000,0.1,2,0.113,0.9464
1000,0.1,10,0.113,1
1000,0.1,1,0.114,0.715
1000,0.1,2,0.114,0.9476
1000,0.1,10,0.114,1
1000,0.1,1,0.115,0.7252
1000,0.1,2,0.115,0.9502
1000,0.1,10,0.115,1
1000,0.1,1,0.116,0.741
1000,0.1,2,0.116,0.9562
1000,0.1,10,0.116,1
1000,0.1,1,0.117,0.739
1000,0.1,2,0.117,0.9572
1000,0.1,10,0.117,1
1000,0.1,1,0.118,0.767
1000,0.1,2,0.118,0.9632
1000,0.1,10,0.118,1
1000,0.1,1,0.119,0.7684
1000,0.1,2,0.119,0.9652
1000,0.1,10,0.119,1
1000,0.1,1,0.12,0.772
1000,0.1,2,0.12,0.9678
1000,0.1,10,0.12,1
1000,0.1,1,0.121,0.7968
1000,0.1,2,0.121,0.9632
1000,0.1,10,0.121,1
1000,0.1,1,0.122,0.788
1000,0.1,2,0.122,0.9714
1000,0.1,10,0.122,1
1000,0.1,1,0.123,0.7962
1000,0.1,2,0.123,0.971
1000,0.1,10,0.123,1
1000,0.1,1,0.124,0.8066
1000,0.1,2,0.124,0.976
1000,0.1,10,0.124,1
1000,0.1,1,0.125,0.8164
1000,0.1,2,0.125,0.9782
1000,0.1,10,0.125,1
1000,0.1,1,0.126,0.8222
1000,0.1,2,0.126,0.9756
1000,0.1,10,0.126,1
1000,0.1,1,0.127,0.8316
1000,0.1,2,0.127,0.9798
1000,0.1,10,0.127,1
1000,0.1,1,0.128,0.8432
1000,0.1,2,0.128,0.9798
1000,0.1,10,0.128,1
1000,0.1,1,0.129,0.846
1000,0.1,2,0.129,0.981
1000,0.1,10,0.129,1
1000,0.1,1,0.13,0.8528
1000,0.1,2,0.13,0.9848
1000,0.1,10,0.13,1
1000,0.1,1,0.131,0.862
1000,0.1,2,0.131,0.9858
1000,0.1,10,0.131,1
1000,0.1,1,0.132,0.8674
1000,0.1,2,0.132,0.9862
1000,0.1,10,0.132,1
1000,0.1,1,0.133,0.876
1000,0.1,2,0.133,0.9858
1000,0.1,10,0.133,1
1000,0.1,1,0.134,0.8856
1000,0.1,2,0.134,0.9896
1000,0.1,10,0.134,1
1000,0.1,1,0.135,0.8896
1000,0.1,2,0.135,0.9886
1000,0.1,10,0.135,1
1000,0.1,1,0.136,0.901
1000,0.1,2,0.136,0.9914
1000,0.1,10,0.136,1
1000,0.1,1,0.137,0.9004
1000,0.1,2,0.137,0.992
1000,0.1,10,0.137,1
1000,0.1,1,0.138,0.8982
1000,0.1,2,0.138,0.9928
1000,0.1,10,0.138,1
1000,0.1,1,0.139,0.922
1000,0.1,2,0.139,0.993
1000,0.1,10,0.139,1
1000,0.1,1,0.14,0.9206
1000,0.1,2,0.14,0.9952
1000,0.1,10,0.14,1
1000,0.1,1,0.141,0.9226
1000,0.1,2,0.141,0.9922
1000,0.1,10,0.141,1
1000,0.1,1,0.142,0.9276
1000,0.1,2,0.142,0.9966
1000,0.1,10,0.142,1
1000,0.1,1,0.143,0.9288
1000,0.1,2,0.143,0.995
1000,0.1,10,0.143,1
1000,0.1,1,0.144,0.9328
1000,0.1,2,0.144,0.9946
1000,0.1,10,0.144,1
1000,0.1,1,0.145,0.9378
1000,0.1,2,0.145,0.996
1000,0.1,10,0.145,1
1000,0.1,1,0.146,0.9386
1000,0.1,2,0.146,0.9974
1000,0.1,10,0.146,1
1000,0.1,1,0.147,0.948
1000,0.1,2,0.147,0.998
1000,0.1,10,0.147,1
1000,0.1,1,0.148,0.9488
1000,0.1,2,0.148,0.9976
1000,0.1,10,0.148,1
1000,0.1,1,0.149,0.952
1000,0.1,2,0.149,0.998
1000,0.1,10,0.149,1
1000,0.1,1,0.15,0.958
1000,0.1,2,0.15,0.998
1000,0.1,10,0.15,1
1000,0.1,1,0.151,0.9558
1000,0.1,2,0.151,0.9974
1000,0.1,10,0.151,1
1000,0.1,1,0.152,0.9652
1000,0.1,2,0.152,0.997
1000,0.1,10,0.152,1
1000,0.1,1,0.153,0.9604
1000,0.1,2,0.153,0.9984
1000,0.1,10,0.153,1
1000,0.1,1,0.154,0.9624
1000,0.1,2,0.154,0.9976
1000,0.1,10,0.154,1
1000,0.1,1,0.155,0.967
1000,0.1,2,0.155,0.9978
1000,0.1,10,0.155,1
1000,0.1,1,0.156,0.9708
1000,0.1,2,0.156,0.9988
1000,0.1,10,0.156,1
1000,0.1,1,0.157,0.9676
1000,0.1,2,0.157,0.9986
1000,0.1,10,0.157,1
1000,0.1,1,0.158,0.9738
1000,0.1,2,0.158,0.9984
1000,0.1,10,0.158,1
1000,0.1,1,0.159,0.9748
1000,0.1,2,0.159,0.998
1000,0.1,10,0.159,1
1000,0.1,1,0.16,0.9792
1000,0.1,2,0.16,0.9992
1000,0.1,10,0.16,1
1000,0.1,1,0.161,0.9796
1000,0.1,2,0.161,0.9986
1000,0.1,10,0.161,1
1000,0.1,1,0.162,0.9792
1000,0.1,2,0.162,0.9998
1000,0.1,10,0.162,1
1000,0.1,1,0.163,0.9792
1000,0.1,2,0.163,0.999
1000,0.1,10,0.163,1
1000,0.1,1,0.164,0.9838
1000,0.1,2,0.164,0.9986
1000,0.1,10,0.164,1
1000,0.1,1,0.165,0.9858
1000,0.1,2,0.165,0.9986
1000,0.1,10,0.165,1
1000,0.1,1,0.166,0.9854
1000,0.1,2,0.166,0.999
1000,0.1,10,0.166,1
1000,0.1,1,0.167,0.9854
1000,0.1,2,0.167,0.999
1000,0.1,10,0.167,1
1000,0.1,1,0.168,0.9898
1000,0.1,2,0.168,0.9994
1000,0.1,10,0.168,1
1000,0.1,1,0.169,0.9878
1000,0.1,2,0.169,0.999
1000,0.1,10,0.169,1
1000,0.1,1,0.17,0.99
1000,0.1,2,0.17,1
1000,0.1,10,0.17,1
1000,0.1,1,0.171,0.9918
1000,0.1,2,0.171,0.9996
1000,0.1,10,0.171,1
1000,0.1,1,0.172,0.9908
1000,0.1,2,0.172,0.9998
1000,0.1,10,0.172,1
1000,0.1,1,0.173,0.9924
1000,0.1,2,0.173,0.9992
1000,0.1,10,0.173,1
1000,0.1,1,0.174,0.9928
1000,0.1,2,0.174,0.9998
1000,0.1,10,0.174,1
1000,0.1,1,0.175,0.993
1000,0.1,2,0.175,0.9998
1000,0.1,10,0.175,1
1000,0.1,1,0.176,0.995
1000,0.1,2,0.176,1
1000,0.1,10,0.176,1
1000,0.1,1,0.177,0.994
1000,0.1,2,0.177,1
1000,0.1,10,0.177,1
1000,0.1,1,0.178,0.9942
1000,0.1,2,0.178,0.9998
1000,0.1,10,0.178,1
1000,0.1,1,0.179,0.9938
1000,0.1,2,0.179,0.9994
1000,0.1,10,0.179,1
1000,0.1,1,0.18,0.9958
1000,0.1,2,0.18,1
1000,0.1,10,0.18,1
1000,0.1,1,0.181,0.9954
1000,0.1,2,0.181,1
1000,0.1,10,0.181,1
1000,0.1,1,0.182,0.9968
1000,0.1,2,0.182,1
1000,0.1,10,0.182,1
1000,0.1,1,0.183,0.9966
1000,0.1,2,0.183,1
1000,0.1,10,0.183,1
1000,0.1,1,0.184,0.9974
1000,0.1,2,0.184,1
1000,0.1,10,0.184,1
1000,0.1,1,0.185,0.9974
1000,0.1,2,0.185,0.9998
1000,0.1,10,0.185,1
1000,0.1,1,0.186,0.9978
1000,0.1,2,0.186,0.9998
1000,0.1,10,0.186,1
1000,0.1,1,0.187,0.999
1000,0.1,2,0.187,1
1000,0.1,10,0.187,1
1000,0.1,1,0.188,0.9974
1000,0.1,2,0.188,1
1000,0.1,10,0.188,1
1000,0.1,1,0.189,0.9984
1000,0.1,2,0.189,1
1000,0.1,10,0.189,1
1000,0.1,1,0.19,0.9976
1000,0.1,2,0.19,1
1000,0.1,10,0.19,1
1000,0.1,1,0.191,0.998
1000,0.1,2,0.191,1
1000,0.1,10,0.191,1
1000,0.1,1,0.192,0.9984
1000,0.1,2,0.192,1
1000,0.1,10,0.192,1
1000,0.1,1,0.193,0.9982
1000,0.1,2,0.193,1
1000,0.1,10,0.193,1
1000,0.1,1,0.194,0.9988
1000,0.1,2,0.194,1
1000,0.1,10,0.194,1
1000,0.1,1,0.195,0.9978
1000,0.1,2,0.195,0.9998
1000,0.1,10,0.195,1
1000,0.1,1,0.196,0.9994
1000,0.1,2,0.196,1
1000,0.1,10,0.196,1
1000,0.1,1,0.197,0.9994
1000,0.1,2,0.197,1
1000,0.1,10,0.197,1
1000,0.1,1,0.198,0.9994
1000,0.1,2,0.198,1
1000,0.1,10,0.198,1
1000,0.1,1,0.199,0.9994
1000,0.1,2,0.199,1
1000,0.1,10,0.199,1
1000,0.1,1,0.2,0.9998
1000,0.1,2,0.2,1
1000,0.1,10,0.2,1
1000,0.1,1,0.201,0.9994
1000,0.1,2,0.201,1
1000,0.1,10,0.201,1
1000,0.1,1,0.202,0.9996
1000,0.1,2,0.202,1
1000,0.1,10,0.202,1
1000,0.1,1,0.203,1
1000,0.1,2,0.203,1
1000,0.1,10,0.203,1
1000,0.1,1,0.204,1
1000,0.1,2,0.204,1
1000,0.1,10,0.204,1
1000,0.1,1,0.205,0.9998
1000,0.1,2,0.205,1
1000,0.1,10,0.205,1
1000,0.1,1,0.206,0.9994
1000,0.1,2,0.206,1
1000,0.1,10,0.206,1
1000,0.1,1,0.207,0.9998
1000,0.1,2,0.207,1
1000,0.1,10,0.207,1
1000,0.1,1,0.208,0.9998
1000,0.1,2,0.208,1
1000,0.1,10,0.208,1
1000,0.1,1,0.209,0.9996
1000,0.1,2,0.209,1
1000,0.1,10,0.209,1
1000,0.1,1,0.21,1
1000,0.1,2,0.21,1
1000,0.1,10,0.21,1
1000,0.1,1,0.211,1
1000,0.1,2,0.211,1
1000,0.1,10,0.211,1
1000,0.1,1,0.212,0.9996
1000,0.1,2,0.212,1
1000,0.1,10,0.212,1
1000,0.1,1,0.213,0.9994
1000,0.1,2,0.213,1
1000,0.1,10,0.213,1
1000,0.1,1,0.214,1
1000,0.1,2,0.214,1
1000,0.1,10,0.214,1
1000,0.1,1,0.215,0.9998
1000,0.1,2,0.215,1
1000,0.1,10,0.215,1
1000,0.1,1,0.216,1
1000,0.1,2,0.216,1
1000,0.1,10,0.216,1
1000,0.1,1,0.217,1
1000,0.1,2,0.217,1
1000,0.1,10,0.217,1
1000,0.1,1,0.218,1
1000,0.1,2,0.218,1
1000,0.1,10,0.218,1
1000,0.1,1,0.219,1
1000,0.1,2,0.219,1
1000,0.1,10,0.219,1
1000,0.1,1,0.22,1
1000,0.1,2,0.22,1
1000,0.1,10,0.22,1
1000,0.1,1,0.221,1
1000,0.1,2,0.221,1
1000,0.1,10,0.221,1
1000,0.1,1,0.222,1
1000,0.1,2,0.222,1
1000,0.1,10,0.222,1
1000,0.1,1,0.223,1
1000,0.1,2,0.223,1
1000,0.1,10,0.223,1
1000,0.1,1,0.224,1
1000,0.1,2,0.224,1
1000,0.1,10,0.224,1
1000,0.1,1,0.225,1
1000,0.1,2,0.225,1
1000,0.1,10,0.225,1
1000,0.1,1,0.226,1
1000,0.1,2,0.226,1
1000,0.1,10,0.226,1
1000,0.1,1,0.227,1
1000,0.1,2,0.227,1
1000,0.1,10,0.227,1
1000,0.1,1,0.228,1
1000,0.1,2,0.228,1
1000,0.1,10,0.228,1
1000,0.1,1,0.229,1
1000,0.1,2,0.229,1
1000,0.1,10,0.229,1
1000,0.1,1,0.23,1
1000,0.1,2,0.23,1
1000,0.1,10,0.23,1
1000,0.1,1,0.231,1
1000,0.1,2,0.231,1
1000,0.1,10,0.231,1
1000,0.1,1,0.232,1
1000,0.1,2,0.232,1
1000,0.1,10,0.232,1
1000,0.1,1,0.233,1
1000,0.1,2,0.233,1
1000,0.1,10,0.233,1
1000,0.1,1,0.234,1
1000,0.1,2,0.234,1
1000,0.1,10,0.234,1
1000,0.1,1,0.235,1
1000,0.1,2,0.235,1
1000,0.1,10,0.235,1
1000,0.1,1,0.236,1
1000,0.1,2,0.236,1
1000,0.1,10,0.236,1
1000,0.1,1,0.237,1
1000,0.1,2,0.237,1
1000,0.1,10,0.237,1
1000,0.1,1,0.238,1
1000,0.1,2,0.238,1
1000,0.1,10,0.238,1
1000,0.1,1,0.239,1
1000,0.1,2,0.239,1
1000,0.1,10,0.239,1
1000,0.1,1,0.24,1
1000,0.1,2,0.24,1
1000,0.1,10,0.24,1
1000,0.1,1,0.241,1
1000,0.1,2,0.241,1
1000,0.1,10,0.241,1
1000,0.1,1,0.242,1
1000,0.1,2,0.242,1
1000,0.1,10,0.242,1
1000,0.1,1,0.243,1
1000,0.1,2,0.243,1
1000,0.1,10,0.243,1
1000,0.1,1,0.244,1
1000,0.1,2,0.244,1
1000,0.1,10,0.244,1
1000,0.1,1,0.245,1
1000,0.1,2,0.245,1
1000,0.1,10,0.245,1
1000,0.1,1,0.246,1
1000,0.1,2,0.246,1
1000,0.1,10,0.246,1
1000,0.1,1,0.247,1
1000,0.1,2,0.247,1
1000,0.1,10,0.247,1
1000,0.1,1,0.248,0.9998
1000,0.1,2,0.248,1
1000,0.1,10,0.248,1
1000,0.1,1,0.249,1
1000,0.1,2,0.249,1
1000,0.1,10,0.249,1
1000,0.1,1,0.25,1
1000,0.1,2,0.25,1
1000,0.1,10,0.25,1
1000,0.1,1,0.251,1
1000,0.1,2,0.251,1
1000,0.1,10,0.251,1
1000,0.1,1,0.252,1
1000,0.1,2,0.252,1
1000,0.1,10,0.252,1
1000,0.1,1,0.253,1
1000,0.1,2,0.253,1
1000,0.1,10,0.253,1
1000,0.1,1,0.254,1
1000,0.1,2,0.254,1
1000,0.1,10,0.254,1
1000,0.1,1,0.255,1
1000,0.1,2,0.255,1
1000,0.1,10,0.255,1
1000,0.1,1,0.256,1
1000,0.1,2,0.256,1
1000,0.1,10,0.256,1
1000,0.1,1,0.257,1
1000,0.1,2,0.257,1
1000,0.1,10,0.257,1
1000,0.1,1,0.258,1
1000,0.1,2,0.258,1
1000,0.1,10,0.258,1
1000,0.1,1,0.259,1
1000,0.1,2,0.259,1
1000,0.1,10,0.259,1
1000,0.1,1,0.26,1
1000,0.1,2,0.26,1
1000,0.1,10,0.26,1
1000,0.1,1,0.261,1
1000,0.1,2,0.261,1
1000,0.1,10,0.261,1
1000,0.1,1,0.262,1
1000,0.1,2,0.262,1
1000,0.1,10,0.262,1
1000,0.1,1,0.263,1
1000,0.1,2,0.263,1
1000,0.1,10,0.263,1
1000,0.1,1,0.264,1
1000,0.1,2,0.264,1
1000,0.1,10,0.264,1
1000,0.1,1,0.265,1
1000,0.1,2,0.265,1
1000,0.1,10,0.265,1
1000,0.1,1,0.266,1
1000,0.1,2,0.266,1
1000,0.1,10,0.266,1
1000,0.1,1,0.267,1
1000,0.1,2,0.267,1
1000,0.1,10,0.267,1
1000,0.1,1,0.268,1
1000,0.1,2,0.268,1
1000,0.1,10,0.268,1
1000,0.1,1,0.269,1
1000,0.1,2,0.269,1
1000,0.1,10,0.269,1
1000,0.1,1,0.27,1
1000,0.1,2,0.27,1
1000,0.1,10,0.27,1
1000,0.1,1,0.271,1
1000,0.1,2,0.271,1
1000,0.1,10,0.271,1
1000,0.1,1,0.272,1
1000,0.1,2,0.272,1
1000,0.1,10,0.272,1
1000,0.1,1,0.273,1
1000,0.1,2,0.273,1
1000,0.1,10,0.273,1
1000,0.1,1,0.274,1
1000,0.1,2,0.274,1
1000,0.1,10,0.274,1
1000,0.1,1,0.275,1
1000,0.1,2,0.275,1
1000,0.1,10,0.275,1
1000,0.1,1,0.276,1
1000,0.1,2,0.276,1
1000,0.1,10,0.276,1
1000,0.1,1,0.277,1
1000,0.1,2,0.277,1
1000,0.1,10,0.277,1
1000,0.1,1,0.278,1
1000,0.1,2,0.278,1
1000,0.1,10,0.278,1
1000,0.1,1,0.279,1
1000,0.1,2,0.279,1
1000,0.1,10,0.279,1
